id,observed_on,latitude,longitude,scientific_name,common_name,iconic_taxon_name
Kentfield,11/12/11,37.95584869,-122.5495987,Sequoia sempervirens,coast redwood,Plantae
Kentfield,3/13/14,37.95630322,-122.5496202,Nemophila menziesii,baby blue eyes,Plantae
Kentfield,5/19/14,37.950905,-122.5450133,Elanus leucurus,White-tailed Kite,Aves
Kentfield,10/29/14,37.94817,-122.5461117,Harmonia axyridis,Asian Lady Beetle,Insecta
Kentfield,9/16/15,37.951425,-122.5482667,Ardea alba,Great Egret,Aves
Kentfield,10/13/15,37.955677,-122.550804,Epilobium canum,California fuchsia,Plantae
Kentfield,10/7/15,37.9566,-122.550516,Polistes dominula,European Paper Wasp,Insecta
Kentfield,1/24/10,37.9521994,-122.5499389,Corvus brachyrhynchos,American Crow,Aves
Kentfield,5/3/17,37.95015833,-122.5458367,Haemorhous mexicanus,House Finch,Aves
Kentfield,5/3/17,37.95003,-122.5459367,Tachycineta thalassina,Violet-green Swallow,Aves
Kentfield,3/18/17,37.95634667,-122.5496217,Nemophila menziesii,baby blue eyes,Plantae
Kentfield,3/17/15,37.9559503,-122.5509948,Boisea rubrolineata,Western Boxelder Bug,Insecta
Kentfield,12/29/17,37.95283705,-122.5471109,Megaceryle alcyon,Belted Kingfisher,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Bucephala clangula,Common Goldeneye,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Bucephala albeola,Bufflehead,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Ardea alba,Great Egret,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Zenaida macroura,Mourning Dove,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Branta canadensis,Canada Goose,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Egretta thula,Snowy Egret,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Himantopus mexicanus,Black-necked Stilt,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Mareca americana,American Wigeon,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Nycticorax nycticorax,Black-crowned Night Heron,Aves
Kentfield,12/29/17,37.95283705,-122.5471109,Fulica americana,American Coot,Aves
Kentfield,4/2/18,37.95597408,-122.5503659,Achillea millefolium,common yarrow,Plantae
Kentfield,4/2/18,37.95597408,-122.5503659,Vicia benghalensis,reddish tufted vetch,Plantae
Kentfield,4/30/18,37.94914667,-122.5476617,Cotula coronopifolia,Brass Buttons,Plantae
Kentfield,4/30/18,37.94909667,-122.5474917,Jaumea carnosa,Marsh Jaumea,Plantae
Kentfield,4/30/18,37.94915833,-122.5474083,Raphanus raphanistrum sativus,garden radish,Plantae
Kentfield,4/30/18,37.94920333,-122.5473783,Distichlis spicata,Saltgrass,Plantae
Kentfield,4/30/18,37.94920333,-122.5473783,Frankenia salina,Alkali Heath,Plantae
Kentfield,4/30/18,37.94920333,-122.5473783,Salicornia pacifica,Pacific Glasswort,Plantae
Kentfield,5/18/18,37.95264435,-122.5487671,Delphinium nudicaule,Red larkspur,Plantae
Kentfield,9/19/18,37.95444167,-122.5486217,Araneus diadematus,Cross Orbweaver,Arachnida
Kentfield,1/17/19,37.94981277,-122.5485873,Quercus agrifolia,coast live oak,Plantae
Kentfield,1/17/19,37.94913645,-122.5473666,Geukensia demissa,Atlantic Ribbed Mussel,Mollusca
Kentfield,1/17/19,37.949,-122.5473717,Raphanus raphanistrum sativus,garden radish,Plantae
Kentfield,1/17/19,37.94855833,-122.54718,Baccharis pilularis,coyote brush,Plantae
Kentfield,1/17/19,37.94878333,-122.5460133,Foeniculum vulgare,fennel,Plantae
Kentfield,1/17/19,37.94884167,-122.545875,Malva,Mallows,Plantae
Kentfield,1/17/19,37.947925,-122.5445117,Volvopluteus gloiocephalus,Stubble Rosegill,Fungi
Kentfield,1/17/19,37.94785,-122.5443633,Geukensia demissa,Atlantic Ribbed Mussel,Mollusca
Kentfield,1/17/19,37.947555,-122.5437167,Egretta thula,Snowy Egret,Aves
Kentfield,1/17/19,37.94749167,-122.5432133,Foeniculum vulgare,fennel,Plantae
Kentfield,1/17/19,37.94856333,-122.547255,Collybia nuda,Blewit,Fungi
Kentfield,1/17/19,37.95010833,-122.548745,Rapistrum rugosum,annual bastard cabbage,Plantae
Kentfield,1/17/19,37.94820333,-122.5478367,Distichlis spicata,Saltgrass,Plantae
Kentfield,1/17/19,37.94815833,-122.5477,Collybia nuda,Blewit,Fungi
Kentfield,1/17/19,37.94804667,-122.5469883,Genista monspessulana,French broom,Plantae
Kentfield,1/17/19,37.94796667,-122.5478533,Anas platyrhynchos,Mallard,Aves
Kentfield,1/17/19,37.947425,-122.543175,Spartium junceum,Spanish Broom,Plantae
Kentfield,1/17/19,37.94746333,-122.54322,Ardea alba,Great Egret,Aves
Kentfield,1/17/19,37.94745333,-122.543245,Anas platyrhynchos,Mallard,Aves
Kentfield,1/17/19,37.94868,-122.5464333,Erodium moschatum,musk stork's-bill,Plantae
Kentfield,1/17/19,37.94827167,-122.5449133,Foeniculum vulgare,fennel,Plantae
Kentfield,1/17/19,37.94875833,-122.54577,Genista monspessulana,French broom,Plantae
Kentfield,1/17/19,37.94882167,-122.545905,Acacia dealbata,Silver wattle,Plantae
Kentfield,1/17/19,37.94998,-122.5485533,Paraserianthes lophantha,Plume Albizia,Plantae
Kentfield,1/17/19,37.948555,-122.5472333,Baccharis pilularis,coyote brush,Plantae
Kentfield,1/17/19,37.94856333,-122.5472033,Collybia nuda,Blewit,Fungi
Kentfield,1/17/19,37.94861667,-122.5467383,Grindelia stricta,Oregon Gumplant,Plantae
Kentfield,1/17/19,37.94868333,-122.546805,Senecio vulgaris,common groundsel,Plantae
Kentfield,1/17/19,37.94883667,-122.545945,Acacia dealbata,Silver wattle,Plantae
Kentfield,1/17/19,37.94868333,-122.5456,Foeniculum vulgare,fennel,Plantae
Kentfield,1/17/19,37.94747167,-122.5436333,Ardea alba,Great Egret,Aves
Kentfield,1/17/19,37.94847833,-122.546805,Branta canadensis,Canada Goose,Aves
Kentfield,1/17/19,37.94774759,-122.5439439,Egretta thula,Snowy Egret,Aves
Kentfield,1/17/19,37.94756164,-122.5437145,Ardea alba,Great Egret,Aves
Kentfield,1/21/19,37.95477,-122.5484167,Leratiomyces percevalii,Mulch Maids,Fungi
Kentfield,1/21/19,37.95521667,-122.5491417,Tubaria furfuracea,scurfy twiglet,Fungi
Kentfield,1/21/19,37.95559667,-122.54943,Leratiomyces percevalii,Mulch Maids,Fungi
Kentfield,1/21/19,37.95641333,-122.5489717,Coprinopsis lagopus,hare's foot inkcap,Fungi
Kentfield,1/21/19,37.95639667,-122.5489883,Tubaria furfuracea,scurfy twiglet,Fungi
Kentfield,1/21/19,37.95647833,-122.5488283,Gymnopus brassicolens,Cabbage Parachute,Fungi
Kentfield,1/21/19,37.95655,-122.548905,Leratiomyces percevalii,Mulch Maids,Fungi
Kentfield,1/17/19,37.94856667,-122.5471883,Collybia nuda,Blewit,Fungi
Kentfield,1/17/19,37.948595,-122.5472033,Baccharis pilularis,coyote brush,Plantae
